LEA Code,School Code,LEA Name,School Name,Total,Female,Male,Asian,Black,Hispanic,American Indian,Two or More Races,Native Hawaiian/ Pacific Islander,White,SCHOOL CODE
200,LEA,Cherokee County Schools,LEA Totals,10,3,7,.,.,.,.,.,.,10,200LEA
200,322,Cherokee County Schools,The Oaks Academy,7,2,5,.,.,.,.,.,.,7,200322
200,328,Cherokee County Schools,Murphy High,3,1,2,.,.,.,.,.,.,3,200328
210,LEA,Edenton-Chowan Schools,LEA Totals,8,3,5,.,4,1,.,.,.,3,210LEA
210,312,Edenton-Chowan Schools,John A Holmes High,8,3,5,.,4,1,.,.,.,3,210312
220,LEA,Clay County Schools,LEA Totals,12,8,4,.,1,2,.,1,.,8,220LEA
220,310,Clay County Schools,Hayesville High,12,8,4,.,<10,2,.,<10,.,8,220310
230,LEA,Cleveland County Schools,LEA Totals,124,47,77,.,33,5,.,12,.,74,230LEA
230,312,Cleveland County Schools,Burns High,20,7,13,.,3,1,.,1,.,15,230312
230,316,Cleveland County Schools,Burns Middle,2,2,.,.,.,.,.,.,.,2,230316
230,324,Cleveland County Schools,Crest High,23,9,14,.,5,.,.,2,.,16,230324
230,330,Cleveland County Schools,Turning Point Academy,29,11,18,.,11,<10,.,6,.,11,230330
230,334,Cleveland County Schools,East Elementary,1,.,1,.,1,.,.,.,.,.,230334
230,346,Cleveland County Schools,James Love Elementary,2,.,2,.,.,.,.,.,.,2,230346
230,350,Cleveland County Schools,Kings Mountain High,16,7,9,.,1,.,.,3,.,12,230350
230,351,Cleveland County Schools,Kings Mountain Intermediate,1,.,1,.,.,.,.,.,.,1,230351
230,359,Cleveland County Schools,North Shelby,1,.,1,.,.,.,.,.,.,1,230359
230,361,Cleveland County Schools,Shelby High,29,11,18,.,12,3,.,.,.,14,230361
240,LEA,Columbus County Schools,LEA Totals,24,8,16,.,10,1,1,2,.,10,240LEA
240,334,Columbus County Schools,East Columbus High,5,1,4,.,2,.,1,1,.,1,240334
240,371,Columbus County Schools,South Columbus High,11,5,6,.,4,.,.,.,.,7,240371
240,373,Columbus County Schools,CCCA - Fair Bluff /Southeastern Campuses,4,1,3,.,2,1,.,.,.,1,240373
240,380,Columbus County Schools,West Columbus High,4,1,3,.,2,.,.,1,.,1,240380
241,LEA,Whiteville City Schools,LEA Totals,16,4,12,.,7,2,1,.,.,6,241LEA
241,312,Whiteville City Schools,North Whiteville Academy,10,2,8,.,5,<10,.,.,.,4,241312
241,316,Whiteville City Schools,Whiteville High,6,2,4,.,2,1,<10,.,.,2,241316
24B,LEA,Flemington Academy,LEA Totals,1,1,.,.,1,.,.,.,.,.,24BLEA
250,LEA,Craven County Schools,LEA Totals,73,27,46,3,27,3,.,8,.,32,250LEA
250,340,Craven County Schools,Havelock High,21,3,18,.,6,1,.,5,.,9,250340
250,356,Craven County Schools,New Bern High,42,21,21,3,21,2,.,1,.,15,250356
250,372,Craven County Schools,West Craven High,10,3,7,.,.,.,.,2,.,8,250372
260,LEA,Cumberland County Schools,LEA Totals,185,66,119,3,88,25,3,19,3,44,260LEA
260,318,Cumberland County Schools,Jack Britt High,10,3,7,.,4,1,1,1,.,3,260318
260,322,Cumberland County Schools,Douglas Byrd High,17,7,10,.,5,2,.,3,1,6,260322
260,325,Cumberland County Schools,Cape Fear High,12,3,9,.,4,.,1,2,.,5,260325
260,357,Cumberland County Schools,Gray's Creek High,15,4,11,.,1,4,.,.,.,10,260357
260,359,Cumberland County Schools,E E Smith High,24,13,11,.,15,2,.,2,.,5,260359
260,374,Cumberland County Schools,Alger B. Wilkins High School,14,9,5,<10,9,1,.,1,.,2,260374
260,408,Cumberland County Schools,Pine Forest High,28,10,18,.,10,8,.,3,.,7,260408
260,424,Cumberland County Schools,Seventy-First High,14,2,12,.,11,.,.,2,.,1,260424
260,427,Cumberland County Schools,South View High,7,1,6,1,3,1,.,.,.,2,260427
260,446,Cumberland County Schools,Terry Sanford High,13,5,8,1,6,1,1,1,<10,2,260446
260,449,Cumberland County Schools,Ramsey Street High,21,<10,<10,.,16,<10,.,<10,.,<10,260449
260,455,Cumberland County Schools,Westover High,10,5,5,.,4,4,.,1,1,.,260455
270,LEA,Currituck County Schools,LEA Totals,18,10,8,.,.,3,.,1,.,14,270LEA
270,306,Currituck County Schools,Currituck County High,18,10,8,.,.,3,.,1,.,14,270306
280,LEA,Dare County Schools,LEA Totals,22,5,17,.,.,8,.,2,.,12,280LEA
280,304,Dare County Schools,Cape Hatteras Secondary School,2,1,1,.,.,.,.,.,.,2,280304
280,306,Dare County Schools,Dare Learning Academy,5,2,3,.,.,<10,.,.,.,4,280306
280,316,Dare County Schools,Manteo High School,8,1,7,.,.,6,.,.,.,2,280316
280,330,Dare County Schools,First Flight High School,7,1,6,.,.,1,.,2,.,4,280330
290,LEA,Davidson County Schools,LEA Totals,109,35,74,.,7,14,1,2,.,85,290LEA
290,308,Davidson County Schools,Central Davidson High,9,3,6,.,1,.,.,.,.,8,290308
290,309,Davidson County Schools,Central Davidson Middle,1,1,.,.,.,1,.,.,.,.,290309
290,310,Davidson County Schools,Stoner-Thomas School,1,.,1,.,.,.,.,.,.,1,290310
290,314,Davidson County Schools,Davidson County High School,16,6,10,.,<10,<10,.,.,.,14,290314
290,324,Davidson County Schools,East Davidson High,11,3,8,.,1,1,.,.,.,9,290324
290,333,Davidson County Schools,Friendship Elementary,1,.,1,.,.,1,.,.,.,.,290333
290,334,Davidson County Schools,Ledford Middle,1,1,.,.,.,1,.,.,.,.,290334
290,336,Davidson County Schools,Ledford Senior High,11,1,10,.,.,4,.,1,.,6,290336
290,344,Davidson County Schools,Midway Elementary,1,.,1,.,.,.,.,.,.,1,290344
290,348,Davidson County Schools,North Davidson High,9,2,7,.,.,.,.,.,.,9,290348
290,349,Davidson County Schools,Oak Grove High,7,3,4,.,.,.,.,.,.,7,290349
290,352,Davidson County Schools,Pilot Elementary,1,1,.,.,.,.,.,.,.,1,290352
290,365,Davidson County Schools,South Davidson High,10,5,5,.,.,1,.,.,.,9,290365
290,366,Davidson County Schools,Southwood Elementary,1,1,.,.,.,.,.,.,.,1,290366
290,388,Davidson County Schools,West Davidson High,29,8,21,.,4,4,<10,1,.,19,290388
291,LEA,Lexington City Schools,LEA Totals,28,12,16,.,10,7,.,.,.,11,291LEA
291,308,Lexington City Schools,Charles England Elementary School,3,2,1,.,3,.,.,.,.,.,291308
291,332,Lexington City Schools,Lexington Middle School,1,1,.,.,.,.,.,.,.,1,291332
291,336,Lexington City Schools,Lexington Senior High School,24,9,15,.,7,7,.,.,.,10,291336
292,LEA,Thomasville City Schools,LEA Totals,32,13,19,.,9,10,.,4,.,9,292LEA
292,316,Thomasville City Schools,Liberty Drive Elementary,3,1,2,.,1,1,.,1,.,.,292316
292,318,Thomasville City Schools,Thomasville Primary,4,2,2,.,2,1,.,.,.,1,292318
292,320,Thomasville City Schools,Thomasville Middle,1,.,1,.,.,.,.,1,.,.,292320
292,324,Thomasville City Schools,Thomasville High,24,10,14,.,6,8,.,2,.,8,292324
300,LEA,Davie County Schools,LEA Totals,52,24,28,.,4,7,<10,1,.,39,300LEA
300,306,Davie County Schools,Central Davie Academy,2,<10,1,.,.,.,.,.,.,2,300306
300,312,Davie County Schools,Davie County High,49,23,26,.,4,7,<10,1,.,36,300312
300,330,Davie County Schools,South Davie Middle,1,.,1,.,.,.,.,.,.,1,300330
310,LEA,Duplin County Schools,LEA Totals,70,32,38,.,14,37,.,1,.,18,310LEA
310,336,Duplin County Schools,Warsaw Elementary,1,.,1,.,.,1,.,.,.,.,310336
310,338,Duplin County Schools,Duplin Early College High,1,1,.,.,1,.,.,.,.,.,310338
310,344,Duplin County Schools,East Duplin High,19,7,12,.,1,10,.,1,.,7,310344
310,352,Duplin County Schools,James Kenan High,20,7,13,.,7,8,.,.,.,5,310352
310,364,Duplin County Schools,North Duplin Jr Sr High,9,4,5,.,1,6,.,.,.,2,310364
310,384,Duplin County Schools,Rose Hill-Magnolia Elementary,6,2,4,.,1,5,.,.,.,.,310384
310,392,Duplin County Schools,Wallace-Rose Hill High,14,11,3,.,3,7,.,.,.,4,310392
320,LEA,Durham Public Schools,LEA Totals,252,106,146,.,94,129,1,7,.,21,320LEA
320,312,Durham Public Schools,C E Jordan High,39,16,23,.,11,23,.,.,.,5,320312
320,314,Durham Public Schools,The School for Creative Studies,1,.,1,.,.,1,.,.,.,.,320314
320,319,Durham Public Schools,Creekside Elementary,1,.,1,.,.,1,.,.,.,.,320319
320,322,Durham Public Schools,Durham's Performance Learning Center,39,22,17,.,14,21,.,.,.,<10,320322
320,323,Durham Public Schools,Durham School of the Arts,2,1,1,.,1,1,.,.,.,.,320323
320,325,Durham Public Schools,Hillside High,42,20,22,.,26,14,.,1,.,1,320325
320,338,Durham Public Schools,James E Shepard Middle,1,1,.,.,.,1,.,.,.,.,320338
320,341,Durham Public Schools,Lakeview School,12,3,9,.,10,<10,.,.,.,<10,320341
320,356,Durham Public Schools,Northern High,33,11,22,.,13,14,.,2,.,4,320356
320,365,Durham Public Schools,Riverside High,45,21,24,.,9,30,<10,2,.,3,320365
320,366,Durham Public Schools,Sherwood Githens Middle,3,2,1,.,.,2,.,.,.,1,320366
320,368,Durham Public Schools,Southern School of Energy and Sustainabi,34,9,25,.,10,20,.,2,.,2,320368
32M,LEA,Global Scholars Academy,LEA Totals,1,.,1,.,1,.,.,.,.,.,32MLEA
330,LEA,Edgecombe County Public Schools,LEA Totals,56,17,39,.,29,5,.,2,.,20,330LEA
330,328,Edgecombe County Public Schools,North Edgecombe High,5,1,4,.,4,.,.,.,.,1,330328
330,350,Edgecombe County Public Schools,SouthWest Edgecombe High,38,13,25,.,18,4,.,2,.,14,330350
330,358,Edgecombe County Public Schools,Tarboro High,13,3,10,.,7,1,.,.,.,5,330358
33A,LEA,North East Carolina Preparatory School,LEA Totals,3,1,2,.,2,1,.,.,.,.,33ALEA
340,LEA,Winston Salem/Forsyth County Schools,LEA Totals,682,223,459,7,203,300,3,25,4,140,340LEA
340,308,Winston Salem/Forsyth County Schools,Ashley Academy,2,2,.,.,.,2,.,.,.,.,340308
340,330,Winston Salem/Forsyth County Schools,Carver High,42,9,33,.,17,21,.,2,.,2,340330
340,336,Winston Salem/Forsyth County Schools,Carter High School,6,2,4,.,3,2,.,.,.,1,340336
340,350,Winston Salem/Forsyth County Schools,Clemmons Middle School,7,1,6,.,3,2,.,.,.,2,340350
340,364,Winston Salem/Forsyth County Schools,East Forsyth High,59,23,36,.,14,19,.,3,.,23,340364
340,366,Winston Salem/Forsyth County Schools,East Forsyth Middle School,1,1,.,.,.,.,.,.,.,1,340366
340,368,Winston Salem/Forsyth County Schools,Easton Elementary School,2,1,1,.,.,1,.,1,.,.,340368
340,372,Winston Salem/Forsyth County Schools,Flat Rock Middle,12,6,6,.,2,10,.,.,.,.,340372
340,376,Winston Salem/Forsyth County Schools,Forest Park Elementary,5,3,2,.,1,4,.,.,.,.,340376
340,380,Winston Salem/Forsyth County Schools,Gibson Elementary,1,1,.,.,.,1,.,.,.,.,340380
340,382,Winston Salem/Forsyth County Schools,Robert B Glenn High School,85,23,62,.,18,45,<10,2,.,19,340382
340,385,Winston Salem/Forsyth County Schools,Main Street Academy,48,<10,38,.,30,12,.,<10,.,<10,340385
340,390,Winston Salem/Forsyth County Schools,Hall-Woodward Elementary,6,3,3,.,3,2,.,1,.,.,340390
340,392,Winston Salem/Forsyth County Schools,Hanes Magnet School,5,2,3,.,2,2,.,.,.,1,340392
340,400,Winston Salem/Forsyth County Schools,Ibraham Elementary,3,.,3,.,1,1,.,.,.,1,340400
340,406,Winston Salem/Forsyth County Schools,Thomas Jefferson Middle,3,.,3,.,1,2,.,.,.,.,340406
340,416,Winston Salem/Forsyth County Schools,Kernersville Elementary,2,.,2,.,1,1,.,.,.,.,340416
340,424,Winston Salem/Forsyth County Schools,Kimberley Park Elementary,2,.,2,.,2,.,.,.,.,.,340424
340,427,Winston Salem/Forsyth County Schools,Kingswood School,4,3,1,.,2,.,.,.,.,2,340427
340,428,Winston Salem/Forsyth County Schools,Konnoak Elementary,3,2,1,.,.,2,.,.,.,1,340428
340,430,Winston Salem/Forsyth County Schools,Diggs-Latham Elementary,2,.,2,.,1,1,.,.,.,.,340430
340,436,Winston Salem/Forsyth County Schools,Lowrance Middle,1,.,1,.,.,1,.,.,.,.,340436
340,440,Winston Salem/Forsyth County Schools,Meadowlark Elementary,1,.,1,.,1,.,.,.,.,.,340440
340,442,Winston Salem/Forsyth County Schools,Meadowlark Middle,2,1,1,.,1,1,.,.,.,.,340442
340,448,Winston Salem/Forsyth County Schools,Mineral Springs Elementary,3,2,1,.,.,3,.,.,.,.,340448
340,454,Winston Salem/Forsyth County Schools,Mount Tabor High School,17,8,9,.,5,10,.,.,.,2,340454
340,460,Winston Salem/Forsyth County Schools,North Forsyth High,56,26,30,.,10,33,.,1,<10,10,340460
340,462,Winston Salem/Forsyth County Schools,North Hills Elementary,3,.,3,.,2,1,.,.,.,.,340462
340,464,Winston Salem/Forsyth County Schools,Northwest Middle,10,4,6,<10,2,3,.,.,<10,3,340464
340,476,Winston Salem/Forsyth County Schools,Old Town Elementary,2,.,2,.,1,.,.,.,.,1,340476
340,480,Winston Salem/Forsyth County Schools,Paisley IB Magnet School,18,5,13,.,13,3,.,.,.,2,340480
340,486,Winston Salem/Forsyth County Schools,Parkland High,77,20,57,.,21,44,<10,2,.,9,340486
340,488,Winston Salem/Forsyth County Schools,J F Kennedy High,6,4,2,.,1,4,.,1,.,.,340488
340,490,Winston Salem/Forsyth County Schools,Petree Elementary,4,1,3,.,3,.,.,1,.,.,340490
340,492,Winston Salem/Forsyth County Schools,Philo-Hill Magnet Academy,13,4,9,.,3,6,.,.,.,4,340492
340,495,Winston Salem/Forsyth County Schools,Ronald W Reagan High School,20,10,10,.,4,7,.,.,<10,8,340495
340,496,Winston Salem/Forsyth County Schools,R J Reynolds High,66,25,41,1,20,29,.,5,.,11,340496
340,508,Winston Salem/Forsyth County Schools,Sedge Garden Elementary,1,.,1,.,.,1,.,.,.,.,340508
340,512,Winston Salem/Forsyth County Schools,Sherwood Forest Elementary,3,1,2,.,.,.,.,.,.,3,340512
340,514,Winston Salem/Forsyth County Schools,Smith Farm Elementary,7,1,6,.,1,4,.,1,.,1,340514
340,516,Winston Salem/Forsyth County Schools,Southeast Middle,6,2,4,.,2,1,.,.,.,3,340516
340,536,Winston Salem/Forsyth County Schools,Vienna Elementary,2,2,.,.,.,.,.,1,.,1,340536
340,542,Winston Salem/Forsyth County Schools,Walkertown High,14,2,12,.,2,2,.,.,.,10,340542
340,544,Winston Salem/Forsyth County Schools,Walkertown Middle,6,1,5,<10,1,3,.,.,.,.,340544
340,548,Winston Salem/Forsyth County Schools,Ward Elementary,4,.,4,2,1,.,.,.,.,1,340548
340,556,Winston Salem/Forsyth County Schools,West Forsyth High,26,8,18,.,4,8,<10,2,.,11,340556
340,564,Winston Salem/Forsyth County Schools,Wiley Magnet Middle,6,3,3,.,2,2,.,.,.,2,340564
340,568,Winston Salem/Forsyth County Schools,Winston-Salem Preparatory Acad,8,1,7,<10,2,4,.,1,.,.,340568
350,LEA,Franklin County Schools,LEA Totals,1,.,1,.,.,.,.,.,.,1,350LEA
350,308,Franklin County Schools,Bunn High,1,.,1,.,.,.,.,.,.,1,350308
360,LEA,Gaston County Schools,LEA Totals,160,56,104,.,28,16,2,9,.,105,360LEA
360,310,Gaston County Schools,Ashbrook High,14,5,9,.,8,1,.,.,.,5,360310
360,336,Gaston County Schools,Bessemer City High,14,5,9,.,3,1,.,2,.,8,360336
360,360,Gaston County Schools,Cherryville High,6,2,4,.,.,.,.,.,.,6,360360
360,372,Gaston County Schools,Warlick Academy,30,6,24,.,9,<10,.,2,.,16,360372
360,378,Gaston County Schools,Stuart W Cramer High,10,6,4,.,.,.,.,1,.,9,360378
360,390,Gaston County Schools,East Gaston High,21,8,13,.,.,.,.,2,.,19,360390
